Id,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription
CEN,Ceremonies News,Actualités des Cérémonies,시상식 뉴스,Ceremonies News,Actualités des Cérémonies,시상식 주요 정보
DAP,Daily Preview,Aperçu quotidien,일일 프리뷰,Daily Preview,Aperçu quotidien,당일 주요 경기 프리뷰
DAR,Daily Review,Bilan quotidien,일일 리뷰,Daily Review,Bilan quotidien,당일 주요 경기 리뷰 
DIR,Discipline Review,Bilan de la discipline,세부종목 리뷰,Discipline Review,Bilan de la discipline,세부 종목 리뷰
EVP,Event Preview,Aperçu de l'épreuve,이벤트 프리뷰,Event Preview,Aperçu de l'épreuve,세부 이벤트 프리뷰
EVR,Event Review,Bilan de l'épreuve,이벤트 리뷰,Event Review,Bilan de l'épreuve,세부 이벤트 리뷰
FL,Flag Bearers,Porte-drapeaux,국기 계양자,Flag Bearers,Porte-drapeaux,각국 기수 정보 
FQ,Flash Quotes,Dernières déclarations,선수 소감,Flash Quotes,Dernières déclarations,메달리스트 경기 후 소감
GAR,Game Review,Bilan des Jeux,게임 리뷰,Game Review,Bilan des Jeux,게임 리뷰
IOC,IOC News,Actualités du CIO,IOC 뉴스,IOC News,Actualités du CIO,IOC 제공 뉴스 
MAP,Match Preview,Aperçu du match,매치 프리뷰,Match Preview,Aperçu du match,매치 프리뷰
MAR,Match Review,Bilan du match,매치 리뷰 ,Match Review,Bilan du match,매치 리뷰 
MCH,Press Conference Highlights,Extraits de la conf. de presse,기자회견 하이라이트,Press Conference Highlights,Extraits de la conférence de presse,기자회견 주요 내용 
MEC,Media Communications,Communications médiatiques,미디어 공지,Media Communications,Communications médiatiques,미디어 공지사항 
NF,Newsflash,Flash info,속보,Newsflash,Flash info,속보
NWS,News Articles,Articles,일반 뉴스 ,News Articles,Articles,일반 뉴스 
OPC,Open and Closing Ceremonies,Cérémonies ouverture clôture,개/폐막식,Open and Closing Ceremonies,Cérémonies d'ouverture et de clôture,개/폐막식 주요 정보
PHR,Phase Review,Bilan de phase,페이즈 리뷰,Phase Review,Bilan de phase,페이즈 리뷰
PRE,Medals Presenters,Présentateurs de médailles,메달 수여자,Medals Presenters,Présentateurs de médailles,메달 수여자
QOD,Quotes of the Day,Citations du jour,오늘의 선수소감 ,Quotes of the Day,Citations du jour,오늘의 소감 
SEP,Session Preview,Aperçu de la session,세션 프리뷰,Session Preview,Aperçu de la session,세션 프리뷰
SER,Session Review,Bilan de la session,세션 리뷰,Session Review,Bilan de la session,세션 리뷰
SPP,Sport Preview,Aperçu du sport,종목 프리뷰,Sport Preview,Aperçu du sport,종목 프리뷰
SPR,Sport Review,Bilan du sport,종목 리뷰 ,Sport Review,Bilan du sport,종목 리뷰 
STA,Statistics,Statistiques,통계,Statistics,Statistiques,주요 통계
TAN,Transport Announcements,Annonces de transport ,수송 공지,Transport Announcements,Annonces de transport ,수송 공지
